Acc,Center Names
SRR8606903,AUSTRALIAN INSTITUTE OF MARINCE SCIENCES
SRR11788653,CLARK UNIVERSITY
SRR9158324,CALIFORNIA STATE UNIVERSITY FULLERTON
SRR11881309,"CALIFORNIA STATE UNIVERSITY, FULLERTON"
SRR10293930,"CALIFORNIA STATE UNIVERSITY, LOS ANGELES"
SRR8665997,"CALIFORNIA STATE UNIVERSITY, NORTHRIDGE"
SRR10018586,CFSAN
SRR8606903,AUSTRALIAN INSTITUTE OF MARINCE SCIENCES
SRR10406092,AUSTRALIAN INSTITUTE OF MARINE SCIENCE
SRR10566897,AUSTRALIAN INSTITUTE OF TROPICAL HEALTH AND MEDICINE
SRR11802022,INSTITUT PASTEUR DE MONTEVIDEO
SRR11035393,INSTITUT PASTEUR DE LA GUADELOUPE
SRR8186487,INSTITUT PASTEUR OF SHANGHAI
SRR11005721,UNIVERSITE DE MONTREAL - IRBV
SRR10989484,UNIVERSITY OF NEW BRUNSWICK
SRR10581381,UNIVERSITY OF OTTAWA
SRR10120332,UNIVERSITE DU QUEBEC A TROIS-RIVIERES
SRR10206177,UNIVERSITY OF SASKATCHEWAN
SRR10260952,UNIVERSITE DE SHERBROOKE
SRR8674648,UNIVERSITY OF TORONTO MISSISSAUGA
SRR11219010,CHILDREN HOSPITAL OF CHONGQING MEDICAL UNIVERSITY
SRR11609212,CHILDREN HOSPITAL OF GUANGXI ZHUANG AUTONOMOUS REGION
SRR11423752,CHILDREN'S HOSPITAL OF CHONGQING MEDICAL UNIVERSITY
SRR10202400,CHILDREN'S HOSPITAL OF FUDAN UNIVERSITY
SRR12147237,CHINA ACADEMY OF CHINESE MEDICAL SCIENCES
SRR4409160,"NATIONAL CANCER CENTER/CANCER HOSPITAL, CHINESE ACADEMY OF MEDICAL SCIENCES"
SRR8088667,CHINA ACADMY OF SCIENCES
SRR11478637,SOUTH VALLEY UNIVERSITY
SRR10843708,SUEZ CANAL UNIVERSITY
SRR10738145,ADDIS ABABA UNIVERSITY
SRR11362853,INTERNATIONAL CROPS RESEARCH INSTITUTE FOR THE SEMI-ARID TROPICS (ICRISAT)
SRR11569109,NATIONAL VETERINARY INSTITUTE